Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;V086;V087;V088;V089;V090;V091;V092;V093;V094;V095;V096;V097;V098;V099;V100;V101;V102;V103;V104;V105;V106;V107;V108
320310605000004;1;69;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;1;0;1;1;2;1;4;0;2;0;1;2;2;0;0;3;1;3;0;2;2;0;0;1;0;1;2;0;4;0;1;4;1;1;1;0;1;2;1;2;1;1;2;0;2;3;0;1;1;0;1;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;57;0;0;1;2;4;6;5;9;2;7;6;4;4;2;5
320310605000005;1;60;0;0;0;0;0;0;0;0;0;0;0;1;3;1;0;0;0;1;0;0;1;2;0;0;1;1;1;1;1;1;2;1;1;1;0;2;1;1;1;1;0;2;1;2;4;0;0;0;1;2;2;0;1;0;2;1;1;0;1;0;1;1;2;1;0;0;0;2;0;0;1;0;1;0;0;0;0;2;1;2;0;0;0;0;0;0;0;0;0;0;0;50;0;0;5;1;4;5;5;6;8;3;4;3;2;1;3
320310605000006;1;62;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;1;2;0;2;1;3;0;1;0;2;1;1;2;2;2;1;0;2;2;2;1;0;0;0;2;4;0;0;0;1;1;2;1;1;0;0;2;4;2;1;0;1;2;1;2;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;49;0;0;2;1;3;5;6;7;4;6;5;3;3;3;1
320310605000007;1;45;0;0;0;0;0;0;1;0;1;2;0;0;0;0;0;2;0;0;1;0;0;2;0;2;1;1;1;2;1;1;3;1;0;0;0;1;1;0;1;0;1;0;1;0;0;1;3;1;0;2;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1;1;0;0;0;1;0;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;38;0;4;0;3;5;6;4;3;2;7;1;0;1;1;1
320310605000008;8;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;1;1;2;0;1;0;1;0;0;0;0
320310605000009;8;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;0;0;2;0;0;0;0;1;0;0;0;0;1;1;1;2;0;1;1;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;3;4;1;1;2;1;1;1;1;0
320310605000010;8;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;1;1;1;0;1;0;1;0;0;1;0;0
320310605000011;8;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;1;0;0;0;0;1;1;0;1;0;0
320310605000012;8;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
320310605000013;8;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0
320310605000014;1;62;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;0;1;0;0;0;0;1;0;1;0;1;2;1;2;0;2;3;2;2;2;1;0;1;0;2;0;1;5;0;0;2;0;2;0;1;2;1;2;1;2;0;0;2;2;3;2;1;0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;56;0;1;3;2;2;6;7;4;8;4;6;5;5;1;2
