Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;V086;V087;V088;V089;V090;V091;V092;V093;V094;V095;V096;V097;V098;V099;V100;V101;V102;V103;V104;V105;V106;V107;V108;V109;V110;V111;V112;V113;V114;V115;V116;V117;V118;V119;V120;V121;V122;V123;V124;V125;V126;V127;V128;V129;V130;V131;V132;V133;V134;V135;V136;V137;V138;V139;V140;V141;V142;V143;V144;V145;V146;V147;V148;V149;V150;V151;V152;V153;V154;V155;
110001505000001;1;11;1;0;12;0;25;1;0;15;1;18;2;0;26;0;11;1;0;11;0;7;1;0;15;0;21;0;0;23;0;17;1;0;25;0;13;4;0;16;0;14;3;0;13;0;16;0;0;10;0;19;2;1;13;0;15;1;0;11;0;8;1;0;5;0;11;1;0;8;0;11;1;0;5;0;1;0;0;1;0;12;0;0;13;0;18;0;0;28;0;32;1;0;18;0;16;0;0;11;0;16;1;0;7;0;22;3;0;26;0;25;2;1;16;1;17;3;0;25;0;18;0;1;17;0;22;0;0;17;0;10;1;0;7;0;11;1;0;10;0;5;0;0;6;0;18;1;0;8;0;7;0;0;2;0
110001505000002;1;8;0;0;8;0;15;3;0;27;0;16;5;0;34;0;11;3;0;15;0;5;2;0;19;0;16;3;0;13;0;14;5;0;9;0;14;2;0;23;0;8;3;0;10;0;9;3;0;14;0;10;2;0;10;0;3;0;0;9;0;11;1;0;4;0;11;2;0;2;0;7;1;0;3;0;3;0;0;2;0;9;0;0;9;0;19;3;0;18;0;28;2;0;20;0;15;2;0;12;0;13;0;0;8;0;15;2;0;22;0;28;1;0;11;0;18;2;0;17;0;13;1;0;24;0;16;1;0;16;0;10;2;0;6;0;12;2;0;10;0;6;2;0;7;0;3;0;0;5;0;7;0;0;2;0
110001505000003;1;4;5;1;8;0;10;4;0;28;0;11;2;0;23;0;8;0;0;13;0;3;2;0;10;0;13;7;0;19;0;5;5;0;8;1;8;5;0;11;0;5;4;0;11;0;11;2;0;9;0;11;3;0;5;0;4;2;1;1;0;3;1;0;6;0;2;1;0;2;0;2;1;0;5;0;0;0;0;2;0;4;1;0;6;0;9;3;0;14;0;12;4;0;24;1;10;4;0;11;1;2;0;0;13;0;14;3;0;11;0;10;6;1;9;0;9;6;0;21;0;12;4;0;11;0;10;3;0;5;0;4;4;0;8;0;2;3;0;4;0;1;0;0;5;0;4;1;0;4;0;6;0;0;1;0
110001505000004;1;4;1;0;3;0;6;0;0;13;0;5;2;0;9;3;2;2;0;4;2;3;0;0;5;1;3;0;0;8;0;5;0;0;4;0;2;1;0;5;0;1;0;0;4;0;6;2;0;3;1;1;0;1;3;0;4;0;0;3;0;1;0;0;2;0;2;0;0;5;0;1;1;0;2;0;1;0;0;1;0;0;0;1;2;0;4;1;0;3;0;3;0;0;10;0;3;0;0;8;0;0;0;0;2;0;2;1;1;5;1;3;3;0;5;0;3;0;0;7;0;6;1;0;5;0;1;0;0;8;0;5;0;0;3;0;4;0;0;4;0;0;0;0;0;0;1;0;0;1;0;3;0;0;0;0
110001505000005;1;10;0;0;17;0;14;2;0;39;0;20;4;1;31;0;12;1;1;18;0;8;3;0;13;0;21;2;1;28;0;15;2;0;27;0;9;2;1;30;0;5;3;0;21;0;10;0;0;14;0;12;0;0;15;0;4;0;0;12;0;2;0;0;5;0;12;2;1;8;0;4;0;0;4;1;0;0;0;3;0;8;1;0;21;0;13;3;0;32;0;28;1;1;34;0;21;1;1;20;0;7;0;0;14;0;25;2;0;34;0;17;0;0;29;1;12;1;0;19;0;10;1;0;16;0;14;1;1;13;0;8;0;0;11;0;2;0;0;3;0;1;1;1;2;0;4;1;0;4;0;3;0;0;2;0
110001505000006;1;9;1;0;9;0;10;1;0;32;0;16;1;2;31;1;10;1;1;21;1;6;0;1;10;0;15;1;1;16;2;7;2;0;20;0;7;0;0;20;0;8;2;0;13;0;10;2;0;8;0;10;1;1;9;0;7;4;0;3;0;3;1;0;5;0;3;0;0;8;1;2;0;0;6;0;2;0;0;2;0;13;0;0;11;0;15;0;1;19;0;24;2;0;28;0;12;0;0;16;0;12;2;0;12;0;14;4;0;22;0;11;0;0;20;0;6;1;0;15;0;12;2;0;15;0;12;1;0;16;0;9;2;0;13;0;3;1;0;9;0;1;1;0;9;0;2;1;0;2;0;3;0;0;2;0
110001505000007;1;8;0;0;13;0;15;2;2;15;1;16;2;0;23;0;11;2;0;14;0;5;0;0;9;0;22;3;0;13;0;14;5;1;17;0;14;0;0;9;0;11;1;0;13;1;10;4;1;9;0;12;1;1;12;0;4;2;0;7;0;5;1;0;4;0;5;0;0;7;0;5;1;0;7;0;1;1;0;3;0;9;0;1;11;0;24;0;1;19;0;12;1;0;21;0;4;1;0;12;0;8;0;0;9;0;11;3;1;20;0;14;4;2;21;0;20;1;1;6;0;14;2;0;10;0;11;2;0;12;0;7;0;0;9;0;9;1;1;9;0;5;1;0;4;0;6;2;0;5;0;5;0;1;1;0
110001505000008;1;4;0;0;5;0;4;0;0;15;0;8;0;0;11;0;3;0;0;5;0;5;0;0;6;0;7;2;0;5;1;5;1;0;8;0;4;2;0;10;0;8;0;0;9;0;5;0;0;3;0;1;0;0;6;0;1;0;0;6;0;3;0;1;2;0;3;0;0;5;0;1;0;0;6;0;0;0;0;2;0;2;0;0;7;0;7;0;0;14;0;11;0;0;15;0;6;0;0;8;0;5;0;0;7;0;10;0;0;11;0;10;0;0;12;0;7;0;0;12;0;4;1;0;9;0;2;1;0;3;0;2;0;0;8;0;3;0;0;2;0;3;0;0;1;0;0;0;0;4;0;1;1;0;0;0
110001505000009;1;5;0;0;8;0;10;2;0;14;0;20;4;0;26;1;11;2;0;16;1;9;2;0;10;0;17;3;0;25;1;20;3;0;26;0;18;4;1;19;0;10;5;0;17;0;9;5;1;11;0;14;5;0;13;0;6;0;0;6;0;13;0;0;4;0;3;0;1;3;0;5;0;0;2;0;3;0;0;3;0;4;0;0;14;0;13;1;0;26;1;17;1;1;21;0;13;1;1;13;0;4;0;0;8;0;19;1;1;17;0;12;0;1;24;1;17;2;0;15;0;13;0;1;14;0;11;1;0;13;0;11;2;0;13;0;10;0;0;8;0;3;0;0;2;0;6;1;0;5;0;4;0;0;1;0
110001505000010;1;2;0;0;1;0;5;0;0;8;0;0;1;0;2;0;0;0;0;2;0;0;1;0;0;0;0;0;1;2;0;2;0;0;1;0;2;0;0;1;0;2;0;0;3;0;4;0;0;3;0;1;0;0;0;0;0;0;0;2;0;0;0;0;1;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;2;0;0;4;0;0;0;0;4;0;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;1;1;0;5;0;3;1;0;0;0;2;1;0;0;0;0;1;0;7;0;0;1;0;0;0;0;0;0;2;0;0;0;0;1;0;1;0;0;0;0;1;0;0;1;0;1;0;0;1;0
