Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;V086;V087;V088;V089;V090;V091;V092;V093;V094;V095;V096;V097;V098;V099;V100;V101;V102;V103;V104;V105;V106;V107;V108;V109;V110;V111;V112;V113;V114;V115;V116;V117;V118;V119;V120;V121;V122;V123;V124;V125;V126;V127;V128;V129;V130;V131;V132;V133;V134;
140002705000001;1;631;630;178;72;162;82;27;5;1;3;43;0;15;0;27;14;1;0;0;0;1;16;0;3;0;0;2;3;1;2;1;1;0;3;10;13;9;16;18;14;18;16;13;12;21;20;13;18;16;14;11;19;13;12;9;8;3;6;8;14;6;17;11;9;5;9;11;11;6;11;4;9;3;9;7;7;6;9;4;5;7;5;12;3;5;3;7;3;9;3;3;8;2;1;0;3;3;2;2;3;2;2;0;3;2;1;2;1;3;3;3;0;1;0;0;1;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0
140002705000002;8;162;155;65;3;33;3;9;0;0;0;7;0;1;0;6;14;10;0;0;4;7;3;1;0;0;1;0;0;0;0;1;0;0;0;2;7;3;6;2;2;2;4;0;4;4;1;1;7;1;1;0;5;3;4;1;5;3;2;2;3;5;0;5;2;1;4;4;4;0;1;2;2;2;2;3;2;2;2;1;3;1;1;1;1;0;2;4;2;2;5;0;0;1;1;0;3;1;0;0;1;0;2;1;2;0;1;1;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
140002705000003;8;7;7;4;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
140002705000004;8;106;106;44;0;27;1;2;0;0;0;0;0;1;0;7;0;0;0;21;3;0;1;0;0;0;0;0;1;0;0;0;0;0;0;5;4;2;4;2;1;2;2;0;2;4;0;2;1;1;0;1;4;2;0;0;3;5;6;5;1;0;2;2;0;1;1;1;1;1;3;1;2;1;0;1;1;0;0;1;2;2;1;2;1;0;1;1;3;0;2;1;2;0;0;3;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
140002705000005;5;110;110;38;0;45;13;0;3;0;0;6;0;4;0;1;0;0;0;0;0;0;3;0;1;0;0;0;0;0;1;1;0;0;0;3;3;2;5;2;7;3;2;1;4;1;6;6;1;3;3;1;3;1;2;1;1;2;2;2;0;1;1;3;1;2;0;1;1;1;2;1;2;1;1;0;1;2;1;0;1;1;0;0;2;0;0;0;1;0;0;0;3;0;0;1;0;0;0;1;1;0;0;1;0;1;1;0;0;0;0;0;0;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
140002705000006;8;6;"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X"
140002705000007;8;137;123;49;1;30;14;8;2;0;0;5;2;3;0;5;3;2;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;4;1;3;4;0;3;1;4;6;3;2;2;4;2;3;2;2;2;1;0;1;2;0;1;4;2;3;3;2;7;1;4;4;1;3;2;2;0;3;0;3;0;1;4;0;1;3;1;1;1;3;1;1;1;2;2;3;1;0;0;1;0;1;1;0;1;0;0;1;2;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
140002705000008;5;65;65;24;2;30;4;1;0;0;1;0;0;0;0;1;1;1;0;0;0;0;2;0;0;0;1;0;0;0;0;0;1;0;0;2;5;1;1;3;1;1;1;0;2;2;2;1;0;2;2;2;1;2;0;1;0;1;1;2;0;0;1;0;2;0;1;1;0;2;2;0;0;0;2;1;2;0;2;0;1;0;2;3;0;0;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
140002705000009;8;24;24;12;0;11;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;1;1;1;1;0;0;0;0;0;0;2;0;1;0;1;0;0;0;1;0;0;0;0;2;0;0;1;0;1;1;0;0;0;0;0;0;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
140002705000010;8;19;"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X"
