Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;V086;V087;V088;V089;V090;V091;V092;V093;V094;V095;V096;V097;V098;V099;V100;V101;V102;V103;V104;V105;V106;V107;V108
220005305000001;1;43;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;1;1;3;1;0;2;1;2;1;2;1;3;0;0;0;1;0;1;1;1;0;1;1;1;1;0;0;0;1;0;0;0;1;1;0;0;0;3;1;0;2;0;0;2;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;1;3;7;7;2;2;3;0;1;3;1;0;0
220005305000002;8;33;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;1;0;1;1;0;1;0;1;0;0;0;0;1;0;1;0;0;2;1;0;0;0;2;1;0;0;2;0;1;1;1;0;0;1;0;1;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;2;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;25;0;0;4;2;3;1;3;3;2;2;1;1;1;1;1
220005305000003;8;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;2;0;1;1;0;0;0;1;2;0;1;0;1;0;0;0;0;0;0;1;2;0;0;0;1;0;0;2;0;0;0;0;1;0;0;2;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;1;1;4;1;3;0;3;2;0;2;0;0;2
220005305000004;8;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;2;1;0;0;1;0;1;0;1;0;0;1;0;0;1;0;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;6;0;0;0;2;1;0;0;0;2;0;1;0;0;0;0
220005305000005;8;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;2;1;1;0;0;0;0;0;0;1;1;1;1;0;1;1;0;0;0;1;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;10;0;0;0;2;0;1;1;0;3;0;1;1;0;0;1
220005305000006;8;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;2;1;0;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;1;1;1;2;2;0;0;1;0;1
220005305000007;8;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;2;0;0;2;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;2;2;1;0;0;1;1;2;1;1;1
220005305000008;8;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;0;1;1;0;0;0;0;0;1;0;0;0;2;1;0;0;1;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;1;0;0;2;1;1;2;1;1;0
220005305000009;1;35;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;1;0;0;0;2;0;1;1;0;0;1;1;2;0;0;0;1;1;0;1;1;0;0;0;1;0;0;1;1;0;0;1;0;1;1;0;0;0;2;0;0;1;0;0;1;0;2;0;0;2;1;0;1;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;0;1;2;1;4;4;1;2;2;2;0;1;1;1;2
220005305000010;8;19;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;1;0;1;0;0;0;1;1;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;1;3;1;2;1;1;2;2;0;0;1;0;0
220005305000011;8;26;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;2;0;0;2;1;0;1;0;2;1;1;0;0;2;2;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;19;0;1;1;1;1;2;0;0;5;2;3;1;1;0;1
220005305000012;8;29;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;2;2;1;0;1;0;0;2;1;0;1;0;0;0;0;0;0;1;0;1;0;0;3;2;0;0;0;2;0;1;0;0;0;0;0;0;2;0;0;0;1;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;20;0;0;2;5;4;1;1;4;2;0;0;1;0;0;0
220005305000013;8;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
220005305000014;8;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
220005305000015;8;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;2;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;1;0;2;0;0;1;2;1;0;1;0
220005305000016;8;26;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;2;0;2;0;1;1;1;1;1;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;1;1;1;0;0;0;3;0;0;0;0;1;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;2;0;3;1;0;1;0;3;0;0;1;0;0
220010305000001;1;44;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;0;0;1;0;0;0;0;0;0;0;1;0;0;1;1;1;1;1;0;1;0;1;1;1;1;2;1;2;1;1;1;1;3;2;1;2;2;3;0;3;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;1;0;0;3;1;0;2;3;3;3;2;4;0;0
220010305000002;1;43;0;0;0;0;0;0;1;0;0;1;0;1;0;0;2;0;2;1;0;3;1;0;1;1;3;3;2;0;0;1;1;0;0;0;1;1;0;0;0;2;1;0;0;1;2;0;0;1;0;1;1;0;0;1;0;1;0;0;1;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;28;0;2;3;4;6;5;2;2;1;0;1;1;1;0;0
220010305000003;1;110;0;0;0;0;0;0;0;1;0;0;0;1;0;1;2;0;0;0;1;5;1;2;4;1;2;4;0;2;2;1;0;2;1;4;1;1;2;1;1;0;3;3;3;1;1;1;1;2;2;4;2;2;1;3;3;4;3;1;1;1;4;2;2;0;1;0;2;2;0;4;1;2;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;59;0;1;4;4;10;9;7;2;6;3;4;4;3;0;2
220010305000004;1;91;0;0;0;0;0;0;2;1;1;1;1;1;1;1;1;1;1;2;1;0;3;1;1;0;2;1;3;2;3;1;3;5;1;0;2;2;1;1;1;1;1;2;1;4;0;2;2;0;3;3;0;1;3;7;3;1;3;1;1;1;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;72;0;5;5;5;7;8;10;4;6;7;10;4;0;1;0
220010305000005;8;31;0;0;0;0;1;0;0;0;1;0;1;1;0;0;1;0;0;1;1;0;1;0;1;0;0;0;1;1;1;0;0;0;3;1;2;0;0;2;0;0;0;1;1;0;1;0;1;1;0;0;0;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;1;1;3;2;2;3;6;1;1;2;0;0;0;0;0
220010305000006;8;119;0;0;1;2;1;0;0;1;1;1;0;6;5;6;9;6;4;7;4;3;5;6;3;2;4;4;3;5;3;1;2;1;3;1;3;1;0;0;0;0;0;2;2;1;1;0;2;0;0;0;1;0;2;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;110;4;3;26;24;20;14;7;1;4;1;2;2;1;1;0
220010305000007;5;40;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;1;0;1;0;2;0;0;1;2;1;1;2;1;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;3;1;1;4;1;0;0;1;1;2;0;1;0;1;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;25;0;1;0;1;2;3;3;4;2;0;2;1;1;3;2
220010305000008;5;34;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;0;0;0;0;1;0;0;0;1;0;0;2;1;1;3;0;0;2;0;1;0;0;1;0;0;0;0;0;1;1;0;0;1;3;2;0;0;0;2;0;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;19;0;1;1;2;1;3;4;1;0;2;2;0;0;0;2
220010305000009;1;54;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;1;0;0;2;1;1;1;1;0;1;1;1;0;0;1;0;1;0;0;5;1;1;1;1;0;1;0;1;1;0;1;1;2;0;3;2;0;1;1;1;1;4;0;0;0;1;1;0;0;1;2;0;0;0;0;1;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;35;0;1;2;1;5;3;1;6;3;4;3;3;0;1;2
220010305000010;1;86;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;2;1;1;1;0;0;3;0;1;1;2;4;2;2;1;1;1;1;1;2;1;0;1;1;1;0;2;2;1;0;2;2;2;2;1;1;2;3;1;3;1;1;2;2;1;3;1;2;0;0;1;2;0;1;2;3;2;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;45;0;2;1;5;4;11;4;3;3;5;5;1;0;1;0
220010305000011;1;66;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;1;0;1;0;1;0;1;1;2;0;1;1;0;1;0;1;1;2;2;0;1;3;1;1;1;2;0;1;1;1;1;1;4;3;4;1;2;0;1;1;2;2;2;0;1;1;0;0;1;0;1;0;1;1;0;0;0;1;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;42;0;2;1;1;3;4;5;6;5;2;4;5;2;1;1
220010305000012;7;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
220020205000001;1;92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;4;2;0;0;2;3;0;1;2;1;2;3;1;1;0;2;3;0;0;2;3;1;4;4;2;2;2;5;2;2;3;2;1;1;0;0;3;4;1;0;1;0;1;0;0;3;4;2;1;1;0;0;0;0;1;1;1;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;63;0;0;1;7;5;9;7;5;10;9;2;1;4;1;2
220020205000002;1;111;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;0;1;0;1;2;0;2;4;0;1;2;1;1;2;1;2;2;3;2;2;0;2;1;2;2;6;0;1;3;2;1;0;3;3;3;3;4;2;2;1;1;2;2;4;1;2;2;3;3;1;0;1;1;1;3;3;1;0;1;2;1;0;0;0;0;0;1;0;0;0;0;0;0;0;89;0;0;0;6;9;5;10;7;11;8;10;5;9;2;7
220020205000003;1;126;0;0;0;0;0;0;1;0;0;0;0;1;0;0;3;1;1;4;2;1;2;3;1;0;3;3;0;2;3;3;2;2;3;2;0;1;2;4;4;2;2;2;1;2;0;5;0;1;3;3;0;1;3;1;0;3;4;5;1;1;7;0;2;1;2;1;3;1;4;1;2;2;0;0;2;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;87;0;1;4;9;8;10;9;10;5;8;4;7;4;4;4
220020205000004;1;62;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;2;3;1;3;2;0;1;2;0;0;3;0;1;1;1;2;0;1;3;3;1;1;1;6;1;0;1;1;0;2;1;1;1;1;0;1;1;2;0;1;0;1;1;1;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;0;1;0;2;8;5;4;3;7;2;2;1;0;0;0
220020205000005;1;132;0;0;0;0;0;0;0;0;1;0;0;0;4;2;3;1;2;1;2;1;2;7;1;4;3;11;0;3;3;4;3;4;1;3;1;1;1;1;0;3;0;3;2;2;3;1;3;6;1;2;3;2;3;3;1;0;0;2;2;1;2;0;2;4;1;1;1;0;2;2;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;87;0;1;9;7;17;17;9;6;6;7;4;0;2;2;0
220020205000006;1;176;0;0;0;0;0;0;0;0;0;2;0;1;2;1;4;1;6;1;6;4;1;4;5;4;3;3;6;3;2;1;5;1;3;9;3;3;2;2;3;5;4;5;2;3;1;3;3;4;1;1;5;2;6;1;4;7;1;1;1;3;5;3;0;1;1;3;0;1;1;1;1;2;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;133;0;2;8;18;14;14;19;13;9;9;8;7;6;4;2
220020205000007;1;155;0;0;0;0;0;1;1;0;1;2;0;3;1;3;3;5;6;5;2;9;7;5;3;3;2;6;2;7;3;7;2;4;4;4;5;2;3;5;2;4;1;3;0;1;1;2;0;2;2;1;1;1;1;3;0;1;1;2;1;0;0;2;0;0;2;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;105;0;4;10;25;14;20;13;12;1;3;1;0;2;0;0
220020205000008;1;67;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;2;1;0;1;1;0;2;2;1;1;1;4;0;1;1;1;3;1;2;2;1;1;0;3;0;0;3;1;2;1;0;1;0;2;0;0;2;3;1;1;2;1;0;1;0;3;0;2;2;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47;0;0;2;4;5;6;9;5;5;1;3;2;2;3;0
220020205000009;1;117;0;0;0;0;0;0;0;0;0;0;0;3;2;1;1;3;2;0;2;3;5;5;3;6;3;3;2;1;0;3;1;3;1;2;0;3;2;2;0;1;4;4;1;2;3;1;4;3;3;1;3;3;1;1;1;1;3;2;1;2;0;2;0;0;0;2;0;1;0;0;0;0;0;0;2;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;81;0;0;6;10;19;9;5;5;11;7;2;3;1;1;2
220020205000010;1;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;3;3;0;1;2;3;3;1;4;0;2;0;3;0;1;2;2;0;0;1;2;1;2;2;3;0;1;1;1;5;2;2;0;1;2;1;0;1;0;1;0;0;2;2;1;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;0;0;0;2;8;9;5;3;5;3;2;2;0;0;1
220020205000011;1;91;0;0;0;0;0;0;0;0;0;1;1;0;0;1;2;1;3;6;3;2;3;1;3;3;0;2;4;2;5;1;2;3;1;1;0;2;3;0;0;1;1;0;2;1;0;3;1;1;2;4;1;3;0;2;2;1;2;0;1;0;3;0;0;0;1;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54;0;1;4;14;7;11;5;4;2;4;1;0;0;1;0
220020205000012;1;78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;3;3;2;0;0;0;1;0;0;0;2;1;1;1;3;1;1;2;1;2;0;4;3;1;1;3;2;2;1;0;3;2;1;1;2;1;2;2;1;0;0;4;2;2;0;2;0;1;0;2;0;1;0;1;1;2;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;61;0;0;0;7;3;3;7;8;9;4;5;5;3;3;4
220020205000013;1;85;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;1;0;0;0;1;2;5;0;0;4;1;1;2;1;3;0;2;2;3;2;1;2;2;0;1;0;4;0;1;0;2;2;1;0;3;1;2;1;2;2;1;3;1;1;2;1;1;1;2;2;0;1;0;1;2;1;0;0;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51;0;1;2;1;7;9;9;5;6;1;4;2;1;1;2
220020205000014;1;100;0;0;0;0;0;0;0;0;1;1;0;1;0;3;1;0;1;2;1;1;2;4;2;2;3;4;0;2;0;2;4;0;0;0;0;5;1;0;0;2;1;2;0;2;5;3;1;1;4;3;0;4;2;1;0;0;3;0;3;1;2;1;2;1;4;1;0;3;1;1;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;79;0;2;4;5;13;8;4;7;7;10;5;4;5;3;2
220020205000015;5;47;0;0;0;0;0;0;0;0;0;1;0;0;0;3;1;1;0;0;2;0;3;3;0;0;2;0;1;3;1;0;0;1;1;0;0;1;1;0;1;0;1;1;1;1;0;0;1;1;0;0;2;1;4;0;1;0;0;0;0;1;1;0;0;1;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;0;1;4;3;6;3;2;2;3;2;5;0;1;0;1
220020205000016;8;66;0;0;0;0;0;0;0;0;0;1;3;0;1;0;1;1;3;1;1;0;1;1;2;0;4;2;0;0;1;2;1;0;0;2;1;1;1;1;2;0;1;1;1;2;3;1;1;0;1;1;1;0;3;2;1;1;0;0;0;1;1;0;1;1;0;0;1;2;0;1;0;0;1;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;29;0;1;5;4;3;4;2;4;3;0;1;1;0;0;1
220020205000017;8;30;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;1;2;0;0;0;1;0;1;0;1;1;0;0;0;0;0;0;1;1;0;0;1;1;2;0;0;0;1;0;0;0;0;0;0;0;1;1;0;1;2;1;0;0;0;0;0;1;1;0;1;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;18;0;0;3;3;2;1;2;3;1;0;1;1;1;0;0
220020205000018;8;61;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;1;0;2;0;2;2;0;0;1;1;2;0;0;1;1;2;0;0;2;1;3;0;0;2;0;4;1;0;1;1;0;1;2;3;2;3;2;3;1;1;1;2;0;0;1;0;0;0;1;0;2;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;0;0;3;2;4;2;3;6;4;2;5;2;1;0;0
220020205000019;1;66;0;0;0;0;0;0;0;0;0;0;2;1;0;0;1;3;1;1;0;2;1;1;0;1;2;0;1;1;0;1;2;2;1;2;1;2;2;0;2;0;0;2;3;1;2;2;3;0;1;1;0;0;1;0;1;1;3;1;2;2;1;1;1;0;0;2;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;0;0;4;7;5;3;6;3;3;4;0;4;0;1;0
220020205000020;1;67;0;0;0;0;0;0;0;0;0;0;1;1;0;0;2;2;1;5;3;0;0;0;1;1;1;2;1;0;1;1;2;0;3;0;1;1;2;2;0;2;2;0;1;0;1;1;2;1;2;2;2;0;1;1;0;1;0;2;1;0;0;2;1;1;0;0;1;0;0;2;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;0;0;3;10;2;4;4;5;3;3;0;0;0;1;0
220020205000021;1;86;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;2;1;0;0;1;0;0;1;0;2;0;1;3;3;2;0;1;1;1;0;3;4;2;0;4;2;4;3;5;1;1;1;0;2;2;1;1;2;4;3;0;1;1;0;2;1;4;2;1;1;0;2;2;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49;0;1;1;3;2;9;4;6;10;3;3;1;3;2;1
220020205000022;1;80;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2;1;2;1;1;2;1;0;0;3;0;1;1;0;1;0;0;2;1;1;1;0;4;3;1;0;3;1;2;0;1;3;2;2;2;2;1;2;3;1;0;6;1;2;1;0;1;1;0;0;0;3;0;3;0;0;2;2;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55;0;0;4;7;4;3;5;7;5;8;5;2;1;1;3
220020205000023;1;123;0;0;0;0;0;1;0;0;0;0;0;0;1;5;2;5;1;3;4;3;2;7;4;6;5;5;7;1;0;5;1;0;4;0;3;3;2;3;3;2;4;5;0;2;1;1;2;1;1;1;2;0;0;1;2;0;2;0;0;2;1;0;1;1;0;0;0;1;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;79;0;1;8;13;22;15;4;8;3;2;1;1;0;1;0
220025105000001;1;93;0;0;0;0;1;0;0;0;1;0;1;0;1;0;1;1;0;1;0;1;2;0;1;3;2;1;0;0;2;1;4;1;2;4;1;3;3;3;3;1;2;0;1;3;1;4;2;2;2;1;2;3;2;0;2;3;1;2;1;1;1;0;2;1;1;1;1;1;1;0;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52;1;1;3;3;6;4;11;10;2;5;2;2;0;0;2
220025105000002;1;91;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;3;0;0;1;3;2;0;1;2;3;4;6;3;1;1;0;2;1;4;0;1;1;3;1;6;2;2;0;0;0;1;2;0;2;1;1;4;1;2;1;0;5;0;0;1;2;1;0;2;1;0;2;0;2;0;2;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42;0;1;2;6;8;10;4;6;3;0;2;0;0;0;0
220025105000003;8;13;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;2;0;1;1;1;0;0;1;0;0;0;0;0
220025105000004;8;27;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;1;0;1;0;0;0;1;0;1;1;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;3;0;1;0;2;0;0;1;0;1;1;1;0;1;0;0;0;1;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;2;1;0;1;2;2;1;0;1;1;1;0;1
220025105000005;5;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;3;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;1;0;1;2;0;0;1;0;0;0;0
220025105000006;8;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;2;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;1;0;0;2;2;2;1;0;0;2;0;0
220025105000007;8;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
220025105000008;8;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
220025105000009;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
