Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;
170025105000001;1;0;327496;327496;0;22;24;53;71;28;11;8;4;2;21;
170025105000002;8;0;106937;106937;0;6;9;22;39;11;6;2;0;1;19;
170025105000003;8;0;38578;38578;0;5;3;20;14;5;1;0;1;0;10;
170025105000004;8;0;73038;73038;0;24;17;36;21;9;2;2;0;0;30;
170025105000005;1;0;160280;160280;0;18;25;63;49;16;2;3;0;0;25;
170030105000001;1;0;584088;584088;0;8;35;101;77;36;10;8;3;1;7;
170030105000002;1;0;371035;371035;0;15;28;88;99;38;4;7;2;0;13;
170030105000003;8;0;105711;105711;0;7;18;28;34;8;1;0;1;0;5;
170030105000004;7;0;59665;59665;0;4;11;18;14;4;3;1;0;0;1;
170030105000005;8;0;85089;85089;0;14;19;28;25;4;2;0;0;1;4;
170030105000006;1;0;704648;704648;0;10;39;82;127;72;10;5;2;1;5;
170030105000007;1;0;148476;148476;0;7;20;42;43;17;1;2;0;0;2;
170035005000001;1;1;294936;290986;3950;8;18;50;61;40;10;5;2;1;2;
170035005000002;1;1;291306;290706;600;8;13;77;83;46;7;3;3;0;17;
170035005000003;1;0;375387;375387;0;12;14;57;93;42;15;8;3;0;9;
170035005000004;1;0;173298;173298;0;20;36;69;65;11;1;2;0;0;7;
170035005000005;1;1;175957;175257;700;22;16;66;68;22;1;0;0;0;15;
170035005000006;1;0;125386;125386;0;10;17;48;42;12;2;2;0;0;16;
170035005000007;8;0;35397;35397;0;1;5;16;12;4;1;0;0;0;12;
170035005000008;8;0;81113;81113;0;8;11;22;16;11;2;0;1;0;17;
170035005000009;8;0;157443;157443;0;4;11;57;57;19;1;3;1;0;1;
170035005000010;1;1;220460;219760;700;7;10;46;53;23;7;5;3;0;4;
170040005000001;1;0;356024;356024;0;23;35;76;78;31;9;5;3;3;16;
170040005000002;1;0;252201;252201;0;34;45;70;76;22;4;3;1;0;18;
170040005000003;1;0;247011;247011;0;8;14;53;55;22;9;4;4;0;2;
170040005000004;1;1;72817;71252;1565;17;17;19;26;4;1;0;1;0;13;
170040005000005;1;0;335660;335660;0;9;19;51;70;33;16;8;6;1;30;
170040005000006;8;1;54475;52895;1580;13;11;22;26;4;0;0;0;0;37;
170040005000007;8;3;85526;83486;2040;4;21;31;28;7;1;0;1;1;4;
170040005000008;8;0;48717;48717;0;0;6;12;13;5;1;2;0;0;5;
170040005000009;8;0;53260;53260;0;6;12;26;27;3;0;0;0;0;18;
170040005000010;8;"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";
170040005000011;8;0;89614;89614;0;4;19;22;30;7;2;1;1;1;10;
170040005000012;8;"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";
170040005000013;1;2;254163;251143;3020;16;21;36;36;21;4;3;2;3;11;
170040005000014;1;1;150011;150011;0;24;37;43;42;12;1;3;0;0;8;
170040005000015;1;4;247156;242659;4497;20;27;59;74;15;7;5;3;0;10;
170070705000001;1;1;578189;577489;700;4;14;51;107;82;21;13;8;1;3;
170070705000002;1;2;191584;190519;1065;3;21;55;63;28;2;2;1;0;4;
170070705000003;1;3;501674;458804;42870;1;4;29;76;45;18;21;5;4;1;
170070705000004;1;1;731562;728562;3000;3;8;40;93;73;28;27;15;6;2;
170070705000005;1;7;323511;311422;12089;1;8;45;59;26;14;9;7;1;11;
170070705000006;1;0;444521;444521;0;8;14;81;114;42;5;4;2;1;9;
170070705000007;1;1;442671;442161;510;6;23;54;94;55;11;6;6;1;4;
170070705000008;1;2;293643;291883;1760;9;27;71;112;37;4;1;5;0;18;
170070705000009;1;0;326979;326979;0;2;18;46;102;34;6;2;3;1;5;
170070705000010;8;0;61749;61749;0;2;7;26;21;8;3;0;0;0;26;
170070705000011;8;1;134052;133032;1020;0;9;36;37;15;5;4;0;0;8;
170070705000012;1;1;204515;203245;1270;9;15;60;67;29;4;1;0;0;7;
170100205000001;1;2;476131;473781;2350;11;37;105;98;42;13;8;2;2;6;
170100205000002;1;0;612825;612825;0;8;25;81;129;61;18;17;8;2;8;
170100205000003;1;0;546533;546533;0;11;34;90;124;60;14;4;5;1;3;
170100205000004;1;1;213421;213421;0;18;36;76;82;16;2;0;0;0;5;
170100205000005;1;0;659378;659378;0;11;35;132;137;54;14;6;9;3;2;
170100205000006;1;1;318275;317631;644;21;34;127;109;20;3;5;2;0;9;
170100205000007;8;0;85524;85524;0;7;12;24;29;5;1;1;1;0;5;
170100205000008;5;0;52290;52290;0;16;18;23;11;3;0;1;0;0;1;
170100205000009;8;0;60687;60687;0;2;11;23;16;4;1;1;1;0;1;
170100205000010;5;0;85758;85758;0;4;17;40;16;5;0;2;0;0;3;
170100205000011;8;0;149299;149299;0;3;4;35;33;5;0;1;0;1;0;
170100205000012;8;0;75440;75440;0;2;4;19;28;8;1;1;1;0;2;
170100205000015;1;0;159791;159791;0;20;55;63;42;11;3;0;0;0;2;
170105105000001;1;2;372280;371870;410;4;24;87;104;37;13;2;0;0;3;
170105105000002;1;0;252464;252464;0;11;34;83;67;21;8;2;0;1;6;
170105105000003;8;0;87630;87630;0;36;17;46;28;3;2;0;0;0;13;
170105105000004;5;0;53146;53146;0;12;11;24;16;2;2;0;0;0;4;
170105105000005;5;0;64249;64249;0;18;18;24;28;4;0;0;0;0;1;
170105105000006;8;"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";
170105105000007;8;"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";
170110105000001;1;0;327447;327447;0;10;25;66;78;44;13;11;0;1;25;
170110105000002;1;0;161647;161647;0;6;25;58;50;15;6;1;0;0;4;
170110105000003;1;0;266104;266104;0;26;66;115;101;16;4;2;0;0;10;
170110105000004;8;0;88935;88935;0;6;16;33;28;6;4;0;0;0;7;
170110105000005;8;2;178153;177133;1020;8;21;65;50;19;1;2;2;0;10;
170110105000006;1;1;246664;246414;250;9;22;32;80;34;6;4;0;0;10;
170130905000001;1;0;260295;260295;0;3;21;61;93;22;4;5;1;0;5;
170130905000002;1;2;229435;226325;3110;3;9;24;55;27;12;5;0;0;3;
170130905000003;1;0;320734;320734;0;14;32;106;95;33;7;0;1;0;6;
170130905000004;8;0;128464;128464;0;1;7;31;26;12;3;2;2;2;0;
170130905000005;8;0;138307;138307;0;0;5;14;16;11;2;2;1;1;0;
170130905000006;8;0;68127;68127;0;12;22;23;21;4;1;1;1;0;3;
170130905000007;5;1;116059;113259;2800;9;25;31;47;11;2;2;1;0;5;
170130905000008;5;0;37710;37710;0;3;17;23;14;3;0;0;0;0;0;
170130905000009;5;0;117770;117770;0;12;14;29;27;9;3;1;2;1;3;
170130905000010;5;0;159904;159904;0;35;36;55;41;16;3;2;1;0;0;
170130905000011;5;0;55475;55475;0;22;18;27;25;3;0;0;0;0;15;
170130905000012;5;0;37768;37768;0;14;4;9;14;2;0;1;0;0;44;
170130905000013;5;0;93030;93030;0;29;30;30;34;13;0;0;0;0;4;
170190305000001;1;3;356930;353030;3900;3;19;53;84;30;10;16;2;2;6;
170190305000002;1;2;468615;467209;1406;3;16;45;74;42;16;14;9;5;8;
170190305000003;1;7;414972;409274;5698;17;61;133;151;38;6;8;0;0;14;
170190305000004;8;0;154429;154429;0;49;29;60;55;14;2;3;0;0;26;
170190305000005;8;0;169295;169295;0;35;23;55;55;19;5;1;1;1;16;
170190305000006;8;0;75997;75997;0;33;20;21;25;3;0;0;2;0;70;
170190305000007;5;7;97874;92086;5788;30;18;31;19;5;0;2;1;0;30;
170190305000008;8;0;13537;13537;0;8;3;6;8;0;0;0;0;0;29;
170190305000009;5;1;107726;107476;250;15;34;46;35;7;6;0;0;0;7;
170200005000001;1;0;239129;239129;0;2;5;24;41;37;11;4;1;1;7;
170200005000002;1;0;136128;136128;0;6;16;37;38;23;5;1;0;0;23;
170200005000003;1;0;555812;555812;0;2;7;31;89;59;25;15;7;6;3;
170200005000004;1;3;352306;350826;1480;8;19;78;104;44;11;4;4;1;11;
170200005000005;1;0;277800;277800;0;6;37;88;137;25;4;2;1;1;21;
170200005000006;1;3;451129;444619;6510;3;20;68;91;51;10;11;7;3;18;
170200005000007;1;0;203734;203734;0;4;18;28;60;29;7;4;1;0;9;
170200005000008;8;0;69887;69887;0;1;9;19;23;9;2;0;0;0;2;
170200005000009;8;1;38134;37624;510;2;10;14;20;3;0;0;0;0;2;
170200005000010;8;0;67900;67900;0;10;20;37;27;8;0;0;0;0;2;
170200005000011;8;0;40489;40489;0;50;15;20;15;5;0;0;0;0;25;
170200005000012;8;0;33765;33765;0;0;0;12;23;6;0;0;0;0;2;
170200005000013;8;0;60127;60127;0;5;5;15;35;8;1;1;0;0;2;
170200005000014;8;0;79739;79739;0;0;8;26;43;6;0;0;0;0;2;
170200005000015;8;0;52713;52713;0;0;4;16;19;6;1;1;1;0;3;
170200005000016;8;0;95330;95330;0;1;6;31;33;14;0;1;0;1;2;
170200005000017;8;0;27748;27748;0;0;1;12;16;2;0;0;0;0;0;
170200005000018;8;3;141032;139502;1530;3;15;33;39;7;2;2;1;2;6;
170200005000019;1;0;323204;323204;0;1;10;31;73;45;13;5;4;2;7;
170200005000020;1;0;199036;199036;0;3;23;76;77;18;4;1;2;0;4;
170200005000021;5;0;42943;42943;0;0;13;14;27;1;0;0;0;0;2;
170200005000022;5;0;47519;47519;0;7;15;23;17;4;0;0;0;0;11;
170210905000001;1;0;562094;562094;0;1;0;8;33;42;18;20;22;11;11;
170210905000002;1;1;445596;445086;510;1;5;22;50;39;14;11;12;3;9;
170210905000003;1;0;584704;584704;0;1;5;22;95;95;24;13;15;0;10;
170210905000004;1;0;666483;666483;0;3;10;34;111;112;37;16;3;0;17;
170210905000005;1;0;756167;756167;0;1;8;37;98;119;24;32;8;0;8;
170210905000006;1;0;465649;465649;0;1;7;43;94;65;14;16;4;0;3;
170210905000007;1;0;310791;310791;0;0;4;48;74;31;8;7;2;1;4;
170210905000008;1;0;709784;709784;0;0;16;58;158;92;29;12;10;1;22;
170210905000009;1;1;360897;360897;0;0;9;20;55;47;19;10;5;0;5;
170210905000010;1;0;522566;522566;0;0;15;30;77;64;27;19;6;0;5;
170210905000011;1;0;1080647;1080647;0;0;2;20;53;96;69;40;19;6;3;
170210905000012;1;0;1087269;1087269;0;3;11;67;122;106;56;34;13;6;9;
170210905000013;1;0;607772;607772;0;13;96;197;194;60;10;1;1;0;36;
170210905000014;1;0;905415;905415;0;10;44;128;162;104;24;13;3;1;14;
170210905000015;1;1;721034;720224;810;6;27;119;180;67;22;12;6;1;18;
170210905000016;1;0;417937;417937;0;8;27;70;124;51;10;2;0;1;8;
170210905000017;1;0;514365;514365;0;4;14;45;110;80;26;12;2;0;13;
170210905000018;1;1;485905;485395;510;2;22;90;116;76;13;7;5;1;28;
170210905000019;1;6;600802;597672;3130;2;12;50;101;75;35;15;7;1;18;
170210905000020;1;0;587974;587974;0;3;13;55;99;97;27;17;4;2;11;
170210905000021;1;0;1280128;1280128;0;2;4;29;85;103;43;42;17;12;3;
170210905000022;1;1;990019;989519;500;1;3;17;70;76;28;37;20;5;6;
170210905000023;1;0;430439;430439;0;0;12;56;106;61;14;7;2;1;0;
170210905000024;1;0;455558;455558;0;2;7;25;42;39;13;5;5;2;0;
170210905000025;1;0;1328433;1328433;0;5;24;79;214;154;65;42;16;2;3;
170210905000026;1;0;1128152;1128152;0;2;9;54;160;141;43;29;9;5;4;
170210905000027;1;1;706635;706125;510;3;14;59;123;95;22;20;11;0;11;
170210905000028;1;0;704052;704052;0;2;11;30;59;61;24;28;9;3;3;
170210905000029;1;0;1769762;1769762;0;1;5;19;63;54;49;64;55;18;37;
170210905000030;1;0;2941821;2941821;0;3;3;37;111;174;111;116;85;26;20;
170210905000031;1;0;776657;776657;0;0;8;38;70;85;44;27;20;1;18;
170210905000032;1;0;605775;605775;0;0;2;14;27;28;25;17;15;7;7;
170210905000033;1;0;1545324;1545324;0;0;0;5;35;54;26;55;42;23;9;
170210905000034;1;3;1105923;1096783;9140;2;8;55;100;98;33;34;20;7;16;
170210905000035;1;8;2014412;2005230;9182;1;10;27;48;48;43;35;31;21;22;
170210905000036;1;0;2805719;2805719;0;0;4;22;57;51;15;57;81;56;6;
170210905000037;1;1;1185304;1183804;1500;1;17;75;146;124;33;29;12;4;16;
170210905000038;1;0;272789;272789;0;3;21;65;89;30;3;5;1;0;8;
170210905000039;1;0;302618;302618;0;2;27;88;97;32;3;1;0;1;5;
170210905000040;1;0;639506;639506;0;16;50;146;215;62;18;5;3;0;30;
170210905000041;1;0;286575;286575;0;0;4;33;77;45;5;4;1;0;4;
170210905000042;1;0;246886;246886;0;1;8;34;64;36;9;3;3;0;6;
170210905000043;1;0;699219;699219;0;2;21;81;133;62;10;12;11;3;13;
170210905000044;1;0;666062;666062;0;0;8;57;114;72;25;20;3;3;7;
170210905000045;1;0;547587;547587;0;0;15;46;79;67;22;15;3;3;40;
170210905000046;1;0;794288;794288;0;1;18;57;122;71;30;18;10;3;9;
170210905000047;1;0;2277585;2277585;0;0;1;35;113;146;64;93;76;29;4;
170210905000048;1;0;1685086;1685086;0;1;5;41;94;112;54;48;30;15;6;
170210905000049;1;0;312744;312744;0;1;10;31;59;36;6;3;3;3;18;
170210905000050;1;4;757172;752272;4900;1;9;41;121;119;29;19;7;3;5;
170210905000051;1;0;1208518;1208518;0;5;16;47;138;119;51;21;25;10;10;
170210905000052;1;1;795231;794931;300;5;23;96;172;122;27;14;9;1;9;
170210905000053;1;0;1188290;1188290;0;3;5;41;87;78;50;29;17;8;8;
170210905000054;1;1;1158843;1158143;700;1;11;44;120;110;42;38;18;5;8;
170210905000055;1;1;855456;854946;510;0;13;56;132;94;36;19;7;2;12;
170210905000056;1;0;507393;507393;0;1;13;42;89;61;16;15;5;1;2;
170210905000057;1;0;486769;486769;0;3;42;71;115;48;17;11;0;0;18;
170210905000058;1;0;842318;842318;0;0;12;49;127;89;32;20;11;4;4;
170210905000059;1;0;546296;546296;0;2;8;49;86;62;24;14;8;0;6;
170210905000060;1;0;952398;952398;0;1;5;52;90;80;38;25;11;7;9;
170210905000061;1;0;838714;838714;0;1;10;39;75;58;38;29;20;2;58;
170210905000062;1;0;750351;750351;0;1;4;42;95;79;39;26;17;1;6;
170210905000063;1;0;708846;708846;0;0;6;21;79;83;24;34;16;5;14;
170210905000064;1;0;637089;637089;0;7;26;107;142;68;21;14;0;7;10;
170210905000065;1;0;653438;653438;0;18;77;158;176;88;13;3;1;0;74;
170210905000066;1;0;592895;592895;0;2;33;113;162;73;25;12;1;0;28;
170210905000067;1;0;532459;532459;0;1;29;91;126;61;22;9;1;2;6;
170210905000068;1;1;315409;314409;1000;1;18;62;104;39;7;2;2;0;3;
170210905000069;1;0;287559;287559;0;8;39;87;75;38;7;1;1;0;16;
170210905000070;1;0;169575;169575;0;3;15;31;56;24;3;0;0;0;7;
170210905000071;1;5;489364;488344;1020;2;34;92;80;63;16;13;6;1;47;
170210905000072;1;0;458150;458150;0;7;52;143;157;49;10;3;0;0;8;
170210905000073;1;5;206674;204864;1810;4;23;63;62;10;2;2;1;2;1;
170210905000074;1;0;460711;460711;0;17;57;114;167;53;5;5;0;0;12;
170210905000075;1;0;265195;265195;0;0;18;48;80;33;10;1;0;0;7;
170210905000076;1;0;588913;588913;0;2;5;35;64;65;22;21;7;1;9;
170210905000077;1;0;189049;189049;0;5;16;56;51;27;4;1;0;0;5;
170210905000078;1;1;599905;599305;600;18;82;187;195;68;15;5;1;0;12;
170210905000079;1;0;190125;190125;0;2;11;46;56;25;5;2;0;1;4;
170210905000080;1;0;1007644;1007644;0;5;52;110;209;117;37;16;9;3;11;
170210905000081;2;0;108396;108396;0;2;12;15;28;15;3;0;1;0;0;
170210905000082;1;0;461924;461924;0;0;1;6;36;43;17;20;18;3;6;
170210905000083;1;1;658386;653386;5000;3;15;71;164;87;24;5;7;1;6;
170210905000084;1;0;602343;602343;0;1;15;58;136;72;20;16;2;2;4;
170210905000085;1;0;325128;325128;0;0;8;40;42;35;16;10;6;0;4;
170210905000086;1;0;658961;658961;0;14;54;199;224;65;14;5;0;0;4;
170210905000087;1;0;176014;176014;0;6;35;70;61;17;4;0;0;0;20;
170210905000088;1;0;262779;262779;0;7;51;83;90;34;3;0;0;0;7;
170210905000089;1;1;492604;489404;3200;3;43;142;126;42;9;11;1;1;4;
170210905000090;1;0;518514;518514;0;2;33;50;80;37;18;14;8;4;34;
170210905000091;1;2;496544;491984;4560;3;14;51;110;71;17;9;5;2;11;
170210905000092;1;0;878145;878145;0;0;2;9;41;46;20;18;21;10;2;
170210905000093;1;0;503046;503046;0;2;13;52;80;51;13;13;14;1;4;
170210905000094;1;0;513710;513710;0;11;62;141;161;63;7;3;0;1;23;
170210905000095;1;0;891801;891801;0;5;36;118;205;100;23;20;9;2;37;
170210905000096;1;0;489318;489318;0;4;23;90;128;59;9;7;0;2;10;
170210905000097;1;0;461449;461449;0;2;30;110;130;50;10;4;3;1;10;
170210905000098;1;0;484164;484164;0;3;27;97;132;81;9;6;0;1;3;
170210905000099;1;1;341945;339425;2520;4;44;133;116;19;7;2;0;0;30;
170210905000100;1;0;441825;441825;0;8;45;85;138;44;7;3;3;0;5;
170210905000101;1;0;256545;256545;0;4;44;96;90;20;3;0;0;1;7;
170210905000102;1;2;257138;254338;2800;0;32;68;88;27;8;2;0;0;4;
170210905000103;1;0;304175;304175;0;0;7;24;67;32;14;6;4;0;3;
170210905000104;8;0;209069;209069;0;2;34;55;61;24;4;4;0;2;5;
170210905000105;8;5;269862;263982;5880;6;28;79;84;27;1;6;4;0;6;
170210905000106;8;0;332295;332295;0;6;48;93;96;39;9;1;1;0;23;
170210905000107;8;0;22033;22033;0;0;1;9;5;3;1;0;0;0;0;
170210905000108;8;0;42426;42426;0;1;2;8;14;3;3;0;0;1;2;
170210905000109;8;0;58288;58288;0;0;0;8;14;10;3;1;0;0;1;
170210905000110;5;0;278053;278053;0;3;27;73;74;27;3;3;1;1;1;
170210905000111;5;0;165306;165306;0;2;30;57;53;13;2;1;0;0;3;
170210905000112;8;0;160667;160667;0;5;22;49;48;12;4;3;3;0;10;
170210905000113;8;0;177604;177604;0;10;17;50;42;19;3;3;1;0;7;
170210905000114;8;0;174970;174970;0;13;35;67;56;18;2;1;2;0;23;
170210905000115;8;0;105745;105745;0;1;24;47;44;8;3;3;0;0;6;
170210905000116;8;0;13915;13915;0;0;3;9;5;1;0;1;0;0;0;
170210905000117;8;0;105612;105612;0;0;1;11;14;6;2;0;0;1;4;
170210905000118;8;0;114782;114782;0;8;34;36;38;17;3;2;0;0;14;
170210905000119;8;0;64968;64968;0;4;24;24;20;3;0;1;1;0;2;
170210905000120;8;0;67498;67498;0;1;3;21;24;10;3;1;0;0;3;
170210905000121;1;0;323023;323023;0;3;15;52;68;40;9;5;1;1;8;
170210905000122;1;0;575908;575908;0;1;4;45;134;92;26;9;3;0;7;
170210905000123;1;0;515433;515433;0;9;33;77;96;52;26;13;9;1;20;
170210905000124;1;0;344614;344614;0;4;15;53;74;45;12;5;3;0;14;
170210905000125;1;0;570207;570207;0;4;22;70;136;65;24;11;5;0;5;
170210905000126;1;0;706797;706797;0;0;10;80;154;106;12;12;6;1;5;
170210905000127;1;0;910900;910900;0;0;3;9;17;34;16;22;26;15;1;
170210905000128;1;0;1598142;1598142;0;0;2;13;28;43;25;33;29;17;8;
170210905000129;1;0;234762;234762;0;2;34;112;69;10;1;1;0;0;1;
170210905000130;1;1;592078;590858;1220;17;96;212;208;53;8;4;2;0;23;
170210905000131;1;0;603825;603825;0;2;17;63;97;47;18;4;2;1;11;
170210905000132;1;1;663253;659253;4000;2;28;89;146;82;28;9;1;0;215;
170210905000133;1;0;565795;565795;0;1;7;38;74;64;23;18;8;2;6;
170210905000134;1;2;599182;598482;700;0;9;30;61;61;25;17;9;1;12;
170210905000135;1;0;271243;271243;0;2;25;58;76;37;6;2;1;0;6;
170210905000136;1;0;99504;99504;0;1;5;19;33;15;0;2;0;0;2;
170210905000137;1;0;295578;295578;0;4;19;69;90;35;9;1;0;0;8;
170210905000138;1;0;379072;379072;0;4;33;92;121;51;3;3;1;0;3;
170210905000139;1;0;264946;264946;0;4;12;52;82;34;7;3;1;0;2;
170210905000140;1;0;268010;268010;0;3;19;60;88;26;5;3;1;0;8;
170210905000141;1;0;629973;629973;0;2;18;48;104;79;27;17;6;1;5;
170210905000142;1;0;222586;222586;0;10;45;88;83;24;3;1;0;0;5;
170210905000143;1;6;427158;424612;2546;16;64;120;132;40;9;3;2;0;30;
170210905000144;1;0;576714;576714;0;1;16;65;104;72;31;11;5;1;4;
170210905000145;1;0;492975;492975;0;11;57;165;156;64;8;4;1;0;14;
170210905000146;1;3;266437;265217;1220;9;30;64;67;27;3;1;1;1;6;
170210905000147;1;0;713813;713813;0;7;64;150;196;110;14;12;2;0;13;
170215805000001;1;0;150574;150574;0;3;21;33;27;19;4;1;3;0;3;
170215805000002;1;1;189120;188100;1020;13;30;62;51;15;2;4;2;0;6;
170215805000003;8;0;37947;37947;0;4;2;15;13;4;0;0;0;0;1;
170215805000004;5;0;46421;46421;0;7;11;16;12;5;1;1;0;0;4;
170215805000005;8;0;89845;89845;0;0;2;19;24;9;3;1;1;0;0;
170215805000006;5;0;157351;157351;0;10;27;68;45;18;2;1;1;0;13;
170215805000007;8;0;105549;105549;0;4;21;35;39;10;2;0;1;0;8;
170215805000008;1;3;353688;352108;1580;18;37;76;64;17;8;8;4;1;23;
170215805000009;1;0;216751;216751;0;14;30;45;81;27;6;1;0;0;8;
170215805000010;1;0;142623;142623;0;14;16;56;51;17;2;1;1;0;12;
170220805000001;1;0;705582;705582;0;5;14;58;97;44;32;17;11;4;4;
170220805000002;1;14;351781;312589;39192;5;17;31;47;46;20;10;4;0;9;
170220805000003;1;0;494327;494327;0;10;26;64;79;37;25;14;5;1;24;
170220805000004;1;0;264309;264309;0;9;35;63;81;25;5;2;1;1;5;
170220805000005;1;0;314966;314966;0;14;54;103;72;31;5;4;1;0;14;
170220805000006;1;0;477193;477193;0;5;18;47;71;35;12;14;5;3;2;
170220805000007;1;2;829038;826418;2620;5;14;51;101;98;33;21;17;2;6;
170220805000008;1;0;645403;645403;0;8;21;53;69;74;32;11;14;3;3;
170220805000009;1;0;475432;475432;0;22;51;91;104;54;17;9;5;0;14;
170220805000010;1;0;483541;483541;0;14;56;124;98;43;11;8;4;1;15;
170220805000011;1;1;168741;168231;510;18;25;60;46;8;3;3;1;0;2;
170220805000012;1;0;306170;306170;0;35;90;127;90;19;7;3;0;0;7;
170220805000013;1;0;107718;107718;0;22;41;52;28;4;1;1;0;0;8;
170220805000014;8;0;225642;225642;0;14;27;59;31;12;0;1;3;3;9;
170220805000015;5;0;177773;177773;0;13;23;51;47;13;2;2;2;0;2;
170220805000016;8;0;73256;73256;0;15;28;25;20;11;0;0;0;0;6;
170220805000017;5;1;141155;140577;578;25;49;51;46;12;1;1;0;0;22;
170220805000018;8;0;194781;194781;0;87;82;87;51;8;1;0;0;0;4;
170220805000019;5;0;4515;4515;0;4;2;1;2;0;0;0;0;0;5;
170220805000020;8;0;7994;7994;0;3;3;6;1;1;0;0;0;0;2;
170220805000021;7;0;36056;36056;0;15;17;18;14;3;0;0;0;0;27;
170220805000022;8;0;29291;29291;0;15;15;16;10;0;0;0;0;0;4;
170220805000023;8;0;26423;26423;0;5;9;12;8;1;0;1;0;0;1;
170220805000024;5;0;21125;21125;0;13;10;9;9;1;0;0;0;0;3;
170220805000025;8;0;161667;161667;0;55;28;58;53;6;1;3;3;0;23;
170220805000026;7;0;59717;59717;0;23;27;29;14;4;1;0;0;0;0;
170220805000027;7;0;16751;16751;0;10;9;3;7;0;1;0;0;0;9;
170220805000028;8;0;149153;149153;0;16;34;62;47;13;4;0;1;0;0;
170220805000029;8;0;26277;26277;0;9;10;11;9;1;1;0;0;0;6;
170220805000030;8;0;108063;108063;0;19;23;47;33;10;0;0;1;0;3;
170220805000031;8;0;33179;33179;0;12;9;17;7;3;0;0;0;0;4;
170220805000032;7;0;28160;28160;0;26;12;12;10;0;0;0;0;0;8;
170220805000033;1;0;408518;408518;0;3;13;38;54;35;9;16;11;1;9;
170220805000034;1;0;167937;167937;0;8;29;46;59;13;2;1;1;0;11;
170220805000035;1;0;108390;108390;0;1;15;28;23;4;4;3;2;0;4;
170220805000036;1;0;254366;254366;0;8;20;47;68;28;10;4;1;0;4;
170220805000037;1;0;341976;341976;0;49;72;138;87;21;4;2;2;2;11;
170220805000038;1;0;269928;269928;0;23;38;57;84;24;10;7;1;0;10;
170220805000039;1;0;269106;269106;0;35;91;127;85;12;3;1;0;0;8;
170220805000040;8;0;90903;90903;0;58;41;46;37;0;1;0;0;0;24;
170220810000001;1;0;133253;133253;0;23;24;38;32;9;1;2;0;0;2;
170220810000002;8;0;155516;155516;0;45;54;85;44;7;2;0;0;0;7;
170220810000003;7;0;28248;28248;0;14;9;13;11;1;0;0;0;0;5;
170220810000004;7;0;14161;14161;0;7;2;9;3;2;0;0;0;0;0;
170220810000005;5;0;95552;95552;0;39;39;33;39;5;1;0;0;0;14;
170220810000006;8;0;9313;9313;0;10;3;7;2;0;0;0;0;0;3;
170220810000007;5;0;14129;14129;0;23;8;7;4;0;0;0;0;0;9;
170230705000001;1;3;408450;406260;2190;4;21;71;98;43;16;5;4;3;1;
170230705000002;1;0;199320;199320;0;9;22;55;55;26;5;1;2;0;9;
170230705000003;1;0;220950;220950;0;22;53;79;75;17;4;1;0;0;10;
170230705000004;1;0;308621;308621;0;11;31;78;87;31;10;4;2;0;12;
170230705000005;1;0;320766;320766;0;3;10;25;54;34;4;5;5;3;7;
170230705000006;8;0;161067;161067;0;1;7;36;27;20;3;1;2;1;0;
170230705000007;8;0;183166;183166;0;6;16;32;45;9;2;1;1;2;4;
170230705000008;8;1;223224;222204;1020;3;10;57;66;32;5;0;3;0;2;
170230705000009;1;0;151561;151561;0;9;32;59;51;10;3;0;0;0;7;
170230705000010;1;0;454945;454945;0;9;19;50;93;61;22;10;1;2;2;
170240605000001;1;2;238773;237102;1671;9;13;38;50;19;11;5;4;1;6;
170240605000002;1;0;424603;424603;0;40;55;95;90;22;9;10;9;1;22;
170240605000003;1;0;288741;288741;0;14;21;55;96;21;4;4;3;1;13;
170240605000004;1;0;431494;431494;0;1;2;11;26;30;19;13;15;3;2;
170240605000005;1;0;691358;691358;0;5;15;41;75;49;29;24;9;9;5;
170240605000006;1;0;589396;589396;0;17;18;72;111;46;23;11;7;6;14;
170240605000007;8;0;152613;152613;0;11;38;59;54;15;5;0;0;0;17;
170240605000008;8;0;33710;33710;0;1;2;6;23;3;1;0;0;0;37;
170240605000009;8;0;49861;49861;0;8;10;27;28;3;0;0;0;0;16;
170240605000010;8;0;48670;48670;0;13;14;22;22;5;0;1;0;0;57;
170240605000011;8;2;21395;20785;610;3;10;10;7;2;0;0;0;0;18;
170240605000012;8;0;51701;51701;0;14;3;21;32;2;0;1;0;0;21;
170240605000013;8;0;108832;108832;0;26;15;20;32;11;1;2;2;0;18;
170240605000014;8;0;65335;65335;0;5;19;29;14;7;1;0;0;0;5;
170240605000015;8;0;32040;32040;0;1;7;10;24;0;0;0;0;0;52;
170240605000016;1;5;466443;463073;3370;19;39;83;92;47;12;16;6;1;46;
170240605000017;1;3;158526;157654;872;35;55;68;46;14;1;2;0;0;35;
170240605000018;8;0;10298;10298;0;0;5;3;5;0;0;0;0;0;2;
170240610000001;1;1;83267;83007;260;3;11;18;30;10;1;2;0;0;6;
170240610000002;8;0;47382;47382;0;5;10;14;20;6;2;0;0;0;10;
170255405000001;1;0;462649;462649;0;1;6;14;39;42;19;15;7;3;0;
